,A,B,C,D,T
0.0,1.0495729530617888,0.9420647987106785,-0.01495132301514452,-0.022228058609877727,298
0.544445,0.7644008064154686,0.5631601843775331,0.28518972644002283,0.17766959353417025,298
1.166667,0.5453242042603629,0.3487449871059922,0.22050514677571842,0.19940546592316463,298
1.711111,0.4959114642161838,0.143160328548273,0.24627215560465754,0.3780667302322409,298
2.333333,0.48504303560239187,0.16965726794706165,0.30915205060900064,0.28462441809880124,298
2.877778,0.39636507987137876,0.06078177395960441,0.16431861446813548,0.29769561456525523,298
3.5,0.3811282524064107,-0.000805735947183743,0.17582965523081034,0.40234018191735416,298
4.044445,0.42241344823974253,0.029557104122347737,0.23796256226710094,0.3929124095860141,298
4.666667,0.29447958017968767,0.01844798032682734,0.32897824439977147,0.3376439401138143,298
5.211111,0.37635768622515275,0.025910725176800622,0.21264762083711192,0.3257596557206281,298
5.833333,0.4465879643751348,0.033766907420550045,0.14123264542978597,0.34998059100390755,298
6.377778,0.4273897422885867,-0.012269218816392037,0.27895515692025113,0.34778909462822216,298
7.0,0.3246037727388046,-0.02104306699950573,0.28679908504812585,0.46610778363649913,298
